access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,federal_agency
public,24 hours daily,,,2020-01-27,,ELEC,Public,38892,,,E,DUKE ENERGY,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.2269135,-80.8501816,Charlotte,GREEN POWER 011; Mint Street Parking Deck Space L6,,NC,410 S Mint St,28202,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:3221'], 'ports': ['1']}",
public,24 hours daily; metered parking,,,2019-11-08,,ELEC,Public,39016,2010-10-15,LG,E,City of Raleigh - Municipal Building,919-996-3030,2020-01-21T18:34:38Z,STREET_PARKING,200-8,35.778416,-78.64347,Raleigh,Street pay parking at the curb,,NC,285 W Hargett St,27601,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-11-08,,ELEC,Public,39017,2011-02-15,LG,E,City of Raleigh - Downtown,919-996-3030,2020-01-21T18:34:38Z,STREET_PARKING,200-8,35.77435,-78.642287,Raleigh,Street parking at the curb,,NC,215 W Cabarrus St,27601,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,40066,2011-03-15,P,E,Modern Nissan - Concord,704-788-2110,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.392063,-80.622777,Concord,,,NC,967 Concord Pkwy S,28027,US,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,40067,2011-03-15,P,E,Fred Anderson Nissan,910-758-2338,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.042419,-78.956747,Fayetteville,,,NC,4559 Raeford Rd,28304,US,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,40068,2011-03-15,P,E,Vann Yorks High Point Nissan,336-884-4122,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.937981,-79.996012,High Point,,,NC,1810 S Main St,27260,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,40069,2011-03-15,P,E,Nissan of Lumberton,910-739-8371,2020-01-21T18:34:38Z,CAR_DEALER,200-9,34.634487,-78.997134,Lumberton,,,NC,1949 Roberts Ave,28358,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,24 hours daily; pay lot,,,2019-10-04,,ELEC,Public,40070,2012-02-01,SG,E,Green Square Public Parking Garage - Level B1,919-807-4499,2020-01-21T18:34:38Z,PARKING_GARAGE,GPS,35.78136,-78.6412,Raleigh,At N McDowell St. Basement Level.,,NC,120 W Edenton St,27603,US,"['J1772', 'NEMA520']",,2.0,12.0,Non-Networked,,,Free,,,
private,Employee use only,,,2019-12-12,,ELEC,Private,40072,2010-10-15,SG,E,Green Square Public Parking Garage - Level P1,,2020-01-21T18:34:38Z,PARKING_GARAGE,GPS,35.78136,-78.6412,Raleigh,At N McDowell St,,NC,120 W Edenton St,27603,US,"['J1772', 'NEMA520']",,1.0,15.0,Non-Networked,,,,,,
public,24 hours daily; pay lot,,,2019-11-08,,ELEC,Public,40744,2011-07-17,LG,E,City of Raleigh - City Center Deck,919-996-3030,2020-01-21T18:34:38Z,PARKING_GARAGE,200-9,35.774619,-78.637705,Raleigh,1st floor of parking deck,,NC,429 S Wilmington St,27601,US,"['J1772', 'NEMA520']",,1.0,2.0,Non-Networked,,,Free,,,
public,24 hours daily; pay garage,,,2019-11-08,,ELEC,Public,40745,2011-07-17,LG,E,Marriott Hotel Underground Deck,919-996-3030,2020-01-21T18:34:38Z,HOTEL,200-8,35.772881,-78.638502,Raleigh,P3 Level of Parking Deck,,NC,1 W Lenoir St,27601,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily; pay garage,,,2019-11-08,,ELEC,Public,40747,2011-07-17,LG,E,City of Raleigh - Performing Arts Center Deck,919-996-3030,2020-01-21T18:34:38Z,PAY_GARAGE,200-9,35.772619,-78.641492,Raleigh,P2 Level of Parking Deck,,NC,128 W South St,27601,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,24 hours daily; pay garage,,,2019-11-08,,ELEC,Public,40751,2011-07-17,LG,E,City of Raleigh - Wilmington Station Deck,919-996-3030,2020-01-21T18:34:38Z,PAY_GARAGE,200-8,35.77937,-78.638203,Raleigh,1st floor of parking deck,,NC,117 S Wilmington St,27601,US,"['J1772', 'NEMA520']",,1.0,1.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,40854,2011-08-15,P,E,Neal's Garage,919-286-1167,2020-01-21T18:34:38Z,GAS_STATION,200-8,36.009999,-78.921405,Durham,At Ninth and Markham,,NC,1907 W Markham Ave,27705,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-11-08,,ELEC,Public,41553,2011-05-25,LG,E,Wilkerson Nature Preserve Park,919-996-3030,2020-01-21T18:34:38Z,PARK,200-9,35.92353,-78.599883,Raleigh,,,NC,11408 Raven Ridge Rd,27614,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
